decode_policy_mode,decode_temperature,decode_top_k,decode_top_p,model_name,model_key,cond_criterion,cond_key,repeat_evals,batch_size,num_rounds,original_valid_unique,fcd_all_mean,fcd_all_std,all_novel_unique_mean,all_novel_unique_std,repeats_path,model_dir,condition_dir,source_file
shared,1.0,,0.95,TransCVAE,TransCVAE,condz_low,LOW,5,1024,50,6026,2.4172611566433977,0.0085332443783523,41994.4,113.57508529602784,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/fcd_repeats_condz_low.csv,TransCVAE,condz_low,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_low/final_summary_condz_low.csv
shared,1.0,,0.95,TransCVAE,TransCVAE,condz_high,HIGH,5,1024,50,6026,16.53167667038273,0.0534116786970375,8729.2,61.88860961437088,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/fcd_repeats_condz_high.csv,TransCVAE,condz_high,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE/condz_high/final_summary_condz_high.csv
shared,1.0,,0.95,TransCVAE_PSMILES,TransCVAE_PSMILES,condz_low,LOW,5,1024,50,6026,3.1723749651324176,0.0113838581658457,24370.6,49.535845606994535,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/fcd_repeats_condz_low.csv,TransCVAE_PSMILES,condz_low,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_low/final_summary_condz_low.csv
shared,1.0,,0.95,TransCVAE_PSMILES,TransCVAE_PSMILES,condz_high,HIGH,5,1024,50,6026,17.068145045323924,0.030460271412897,15607.6,78.72293185597194,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/fcd_repeats_condz_high.csv,TransCVAE_PSMILES,condz_high,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/TransCVAE_PSMILES/condz_high/final_summary_condz_high.csv
shared,1.0,,0.95,LSTM_CVAE,LSTM_CVAE,condz_low,LOW,5,1024,50,6026,0.6662935292480874,0.0112050156803924,19991.4,150.7856093929391,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/fcd_repeats_condz_low.csv,LSTM_CVAE,condz_low,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_low/final_summary_condz_low.csv
shared,1.0,,0.95,LSTM_CVAE,LSTM_CVAE,condz_high,HIGH,5,1024,50,6026,27.017385202879364,1.1587097725480335,8.6,0.8944271909999159,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/fcd_repeats_condz_high.csv,LSTM_CVAE,condz_high,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE/condz_high/final_summary_condz_high.csv
shared,1.0,,0.95,LSTM_CVAE_PSMILES,LSTM_CVAE_PSMILES,condz_low,LOW,5,1024,50,6026,0.7315826169616699,0.0126759273938338,18102.6,80.71740828346756,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/fcd_repeats_condz_low.csv,LSTM_CVAE_PSMILES,condz_low,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_low/final_summary_condz_low.csv
shared,1.0,,0.95,LSTM_CVAE_PSMILES,LSTM_CVAE_PSMILES,condz_high,HIGH,5,1024,50,6026,23.33789398136172,0.3298906466470354,10.0,1.0,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/fcd_repeats_condz_high.csv,LSTM_CVAE_PSMILES,condz_high,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/LSTM_CVAE_PSMILES/condz_high/final_summary_condz_high.csv
shared,1.0,,0.95,Encoder_Only,Encoder_Only,condz_low,LOW,5,1024,50,6026,3.35729311276674,0.0248350556224822,150.8,1.4832396974191326,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/fcd_repeats_condz_low.csv,Encoder_Only,condz_low,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_low/final_summary_condz_low.csv
shared,1.0,,0.95,Encoder_Only,Encoder_Only,condz_high,HIGH,5,1024,50,6026,6.272551374738869,0.1542895962274142,68.2,3.492849839314596,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_high/fcd_repeats_condz_high.csv,Encoder_Only,condz_high,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only/condz_high/final_summary_condz_high.csv
shared,1.0,,0.95,Encoder_Only_PSMILES,Encoder_Only_PSMILES,condz_low,LOW,5,1024,50,6026,7.812266667915724,0.0589406544331175,48.6,0.5477225575051661,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/fcd_repeats_condz_low.csv,Encoder_Only_PSMILES,condz_low,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_low/final_summary_condz_low.csv
shared,1.0,,0.95,Encoder_Only_PSMILES,Encoder_Only_PSMILES,condz_high,HIGH,5,1024,50,6026,16.851710073803424,0.0419852565937112,18.0,0.7071067811865476,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/fcd_repeats_condz_high.csv,Encoder_Only_PSMILES,condz_high,/home/kiket/Desktop/test/MY_PAPER_RELATED/MODELS/FCD_runs/Encoder_Only_PSMILES/condz_high/final_summary_condz_high.csv
